Rank,Title,Author,Price,URL
81,"Welt in Flammen","Benjamin Monferat","","https://www.ebook.de/de/product/49570315/benjamin_monferat_welt_in_flammen.html"
82,"Das Ehepaar","Gillian Hobbs","","https://www.ebook.de/de/product/50356832/gillian_hobbs_das_ehepaar.html"
83,"Tiefer Fall","David Seinsche","","https://www.ebook.de/de/product/51714557/david_seinsche_tiefer_fall_der_packende_ermittler_krimi.html"
84,"Dunkles Wasser","Charlotte Link","","https://www.ebook.de/de/product/47882422/charlotte_link_dunkles_wasser.html"
85,"Bundle","Stefanie Lahme","","https://www.ebook.de/de/product/51789067/stefanie_lahme_bundle_ein_schotte_unterm_mistelzweig_ein_schotte_fuer_die_feiertage.html"
86,"Die Assistentin","Caroline Wahl","","https://www.ebook.de/de/product/50342920/caroline_wahl_die_assistentin.html"
87,"Das Elternhaus","L. H. Stacey","","https://www.ebook.de/de/product/52060885/l_h_stacey_das_elternhaus_ein_schockierender_psychothriller_ueber_familiaere_geheimnisse_und_vergangene_schuld.html"
88,"Dänische Weihnacht","Frida Gronover","","https://www.ebook.de/de/product/50332363/frida_gronover_daenische_weihnacht.html"
89,"Blutroter Felsen","Lars Olsen","","https://www.ebook.de/de/product/51623733/lars_olsen_blutroter_felsen_helgoland_thriller.html"
90,"Das Geheimnis vergangener Tage","Norma Curtis","","https://www.ebook.de/de/product/51648828/norma_curtis_das_geheimnis_vergangener_tage.html"
91,"Die Hummerfrauen","Beatrix Gerstberger","","https://www.ebook.de/de/product/49264356/beatrix_gerstberger_die_hummerfrauen.html"
92,"Obsession Falls","Claire Kingsley","","https://www.ebook.de/de/product/51647321/claire_kingsley_obsession_falls.html"
93,"Rettung","Meghan O'Flynn","","https://www.ebook.de/de/product/49771793/meghan_o_flynn_rettung_ein_ash_park_roman_ash_park_german_1.html"
94,"Winterglück und Inselzauber","Claudia Schirdewan","","https://www.ebook.de/de/product/50425773/claudia_schirdewan_winterglueck_und_inselzauber_ein_weihnachtsfest_auf_borkum.html"
95,"Mord Life Balance","Sabrina Hüsken","","https://www.ebook.de/de/product/51885912/sabrina_huesken_mord_life_balance_ein_unterhaltsamer_krimi_an_der_ostsee.html"
96,"In einem Zug","Daniel Glattauer","","https://www.ebook.de/de/product/49270030/daniel_glattauer_in_einem_zug.html"
97,"Der zweite Verdächtige","Florian Schwiecker, Michael Tsokos","","https://www.ebook.de/de/product/49300498/florian_schwiecker_michael_tsokos_der_zweite_verdaechtige.html"
98,"Der Kurator","M. W. Craven","","https://www.ebook.de/de/product/50357907/m_w_craven_der_kurator.html"
99,"Kalt wie die Nordsee","Katharina Drüppel","","https://www.ebook.de/de/product/51546816/katharina_drueppel_kalt_wie_die_nordsee_der_spannende_kuestenkrimi_zwischen_aurich_und_den_inseln_spiekeroog_und_langeoog.html"
100,"Weihnachten in der Villa am Elbstrand","Charlotte Jacobi","","https://www.ebook.de/de/product/47915036/charlotte_jacobi_weihnachten_in_der_villa_am_elbstrand.html"
